Ship,URL
USS WALLER,https://en.wikipedia.org/wiki/USS_Waller_(DD-466)
USS WASATCH,https://en.wikipedia.org/wiki/USS_Wasatch_(AGC-9)
USS WHITNEY,https://en.wikipedia.org/wiki/USS_Whitney_(AD-4)
USS WICHITA,https://en.wikipedia.org/wiki/USS_Wichita_(CA-45)
USS WILLIAM HOLBROOK,http://www.navsource.org/archives/09/22/22044.htm  ######### Willard A Holbrook
USS WILSON,https://en.wikipedia.org/wiki/USS_Wilson
USS WRIGHT,https://en.wikipedia.org/wiki/USS_Wright_(AV-1)
USS ZANE,https://en.wikipedia.org/wiki/USS_Zane
USS ZEILIN,https://en.wikipedia.org/wiki/USS_Zeilin_(APA-3)
CGC SPENCER,https://en.wikipedia.org/wiki/USCGC_Spencer_(WPG-36)
CGC INGHAM,https://en.wikipedia.org/wiki/USCGC_Ingham_(WHEC-35)
SS CHARLES LOOMIS,
SS BRAZIL,https://en.wikipedia.org/wiki/SS_Brazil_(1928)
SS SEA CORPORAL
SS PETER SYLVESTER,https://en.wikipedia.org/wiki/SS_Peter_Silvester
HMAS TIGERSNAKE,https://en.wikipedia.org/wiki/HMAS_Tiger_Snake
HMAS HAWKESBURY,https://en.wikipedia.org/wiki/HMAS_Hawkesbury_(K363)
HMAS MANOORA,https://en.wikipedia.org/wiki/HMAS_Manoora_(F48)
MS MATTHEW FLINDERS
ERSKINE M PHELPS,http://www.bruzelius.info/Nautica/Ships/Fourmast_ships/Erskine_M_Phelps(1898).html
