NARA Name,NAID,Type,Date,Images,First Image
"COMTASK-GROUP 31.1 - Treasury Islands, 10/27/43",135991105,After Action,19431027,52,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0006/2ee89728-f9c1-418d-855e-337d0c331e8d/export_WWII_WarDiaries_0669_169948/images/1068.jpg
"COMTASK-GROUP 31.6 - Action 5th Echelon Northern Force, Empress Augusta Bay, 11/15-21/43",78232762,After Action,19431115,6,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0755_Redelivery/A_0755/images/0410.jpg
"COMTASK-GROUP 77.2 - Rep of ops in Leyte Gulf, Leyte Is, Philippines 11/16/44 â 12/2/44",139978114,After Action,19441116,8,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1544_200940/images/0951.jpg
"COMTASK-GROUP 78.2 - Rep of the assault landing at Nasugbu, Luzon Is, Philippines, 1/31/45 - 2/4/45",139918908,After Action,19450131,20,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1461_200325/images/0302.jpg
"COMTASK-GROUP 78.2 - Rep of the assault landings in the Balikpapan-Manggar Area, Borneo, 6/15/45-7/7/45",83523931,After Action,19450615,142,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0002/A_1807/A_1807/images/0536.jpg
"COMTASK-GROUP 76.10 - Rep of the invasions & resupply of Sanga Sanga & Jolo Is, Sulu Archipelago, Philippines 4/2-11/45",139979909,After Action,19450402,43,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0007/export_WWII_WarDiaries_1553_200900/images/0550.jpg
"COMTASKFOR 67 - War Diary, 1/1-31/43",134093985,War Diary,19430101,32,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0005/6b10d65a-621e-4be9-85a6-527ed8933a95/export_WWII_WarDiaries_0238_163982/images/0489.jpg
"COMTASKFOR 31 - War Diary, 7/1/43 to 8/31/43",78188702,War Diary,19430701,396,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0578/images/0004.jpg
"COMTASKFOR 52 - Report of the Capture of Tinian Island, Marianas, Period 7/8/44 to 8/1/44",78590847,After Action,19440708,173,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_1113/images/0148.jpg
"COMTASKFOR 73 - Report of operations in support of SEVENTH Fleet Occupation of Strategic areas in Korea, North China, South China & Formosa, 9/7/45 - 11/25/45",77582815,After Action,19450907,293,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0001/A_1972/A_1972/images/0871.jpg
"COMDESDIV 44 - Act Rep, Torokina Area, 3/2-17/44",78354781,After Action,19440302,7,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0883_Redelivery/A_0883/images/0268.jpg
"COMTASKFOR 31 - Act Rep, Rep of Seizure & Occupation of Emirau Is, 3/20/44 – 4/7/44",78385964,After Action,19440320,20,https://s3.amazonaws.com/NARAprodstorage/lz/microfilm-publications/WWII_WarDiaries/0000/A_0910/A_0910/images/0209.jpg
